Batch,BTC-USD,SOL-USD,DOGE-USD,SHIB-USD,AVAX-USD,ADA-USD,DOT-USD,ETH-USD
80,24131.21,43.98,0.07646,0.00001615,,0.5574,8.831,1902.74
81,24131.07,43.98,0.07646,0.00001615,,0.5574,8.831,1902.56
82,24131.14,43.98,0.07648,0.00001615,,0.5574,8.834,1902.8
83,24131.88,43.98,0.07645,0.00001615,,0.5574,8.834,1902.81
84,24131.88,43.98,0.07647,0.00001615,,0.5574,8.836,1902.82
85,24131.89,43.98,0.07648,0.00001615,,0.5572,,1902.56
86,24129.64,43.98,0.07648,0.00001615,,0.5572,,1902.25
87,24133.01,43.99,0.07649,0.00001615,,0.5572,,1902.49
88,24132.44,43.98,0.07653,0.00001615,,0.5574,,1902.25
89,24132.48,43.98,0.07648,0.00001615,,0.5574,,1902.05
90,24132.93,43.97,0.07652,0.00001615,,0.5572,,1902.05
91,24133.02,43.97,0.07648,0.00001615,,0.5572,,1902.05
92,24133.02,43.97,0.07647,0.00001615,,0.5574,,1902.24
93,24133.02,43.97,0.07646,0.00001614,,0.5574,,1902.24
94,24133.02,43.97,0.07644,0.00001615,,0.5573,,1902
95,24133.37,43.97,0.07644,0.00001614,,0.5571,,1902.11
96,24134.03,43.97,0.07644,0.00001615,,0.5568,,1902.12
97,24134.04,43.97,0.07643,0.00001614,,0.557,,1901.78
98,24134.17,43.97,0.07644,0.00001614,,0.557,,1901.79
99,24134.18,43.96,0.07644,0.00001614,,0.557,,1901.85
100,24134.22,43.99,0.07644,0.00001614,,0.557,,1901.76
101,24134.23,43.99,0.07644,0.00001614,,0.5567,,1901.86
102,24134.84,43.99,0.07644,0.00001614,,0.5569,,1902.05
103,24134.83,43.99,0.07643,0.00001614,,0.557,,1901.58
104,24135.08,44,0.07642,0.00001613,,0.5568,,1901.56
105,24135.09,44,0.07642,0.00001614,,0.5569,,1901.56
106,24135.1,44,0.07642,0.00001614,,0.5571,,1901.56
107,24135.1,44,0.07642,0.00001614,,0.557,,1901.55
108,24135.59,44,0.07641,0.00001613,,0.5571,,1901.55
109,24135.59,44,0.07645,0.00001614,,0.557,,1901.57
110,24135.75,44,0.07642,0.00001614,,0.557,,1901.57
111,24136.09,44,0.07641,0.00001615,,0.557,,1901.59
112,24134.82,44,0.07641,0.00001614,,0.5571,,1901.6
113,24136.09,44,0.0764,0.00001615,,0.5572,,1901.6
114,24136.7,44,0.0764,0.00001615,,0.5571,,1901.6
115,24137.31,44.01,0.07639,0.00001614,,0.5571,,1901.54
116,24137.65,44.01,0.07639,0.00001614,,0.5572,,1901.57
117,24135.56,44.02,0.0764,0.00001614,,0.5569,,1901.56
118,24135.56,44.02,0.0764,0.00001614,,0.5572,,1901.57
119,24135.57,44.04,0.0764,0.00001614,,0.5572,,1901.54
120,24135.58,44.02,0.0764,0.00001614,,0.5572,,1901.56
121,24135.58,44.03,0.0764,0.00001613,,0.557,,1901.54
122,24135.58,44.02,0.07643,0.00001614,,0.5572,,1901.78
123,24135.62,44.02,0.07643,0.00001614,,0.5572,,1901.79
124,24135.63,44.02,0.07644,0.00001614,,0.5571,,1901.89
125,24134.96,44,0.07646,0.00001614,,0.5571,,1901.81
126,24134.96,44,0.07646,0.00001615,,0.5571,,1901.88
127,24134.91,44,0.07644,0.00001615,,0.5571,,1901.88
128,24134.9,44.01,0.07644,0.00001614,,0.5568,,1901.63
129,24134.9,44.01,0.07646,0.00001614,,0.557,,1901.82
130,24134.9,44,0.07646,0.00001615,,0.5569,,1901.74
131,24134.9,44,0.07648,0.00001615,,0.557,,1901.75
132,24134.9,44,0.07649,0.00001615,,0.557,,1901.39
133,24134.9,44,0.07648,0.00001615,,0.557,,1901.29
134,24134.91,44,0.07648,0.00001615,,0.557,,1901.36
135,24134.91,44,0.0765,0.00001615,,0.5571,,1901.14
136,24137.53,44,0.07647,0.00001615,,0.5571,,1901.13
137,24137.47,44.01,0.07645,0.00001615,,0.5571,,1901.13
138,24134.9,43.99,0.07644,0.00001615,,0.5571,,1901.28
139,24136.85,43.99,0.07644,0.00001615,,0.557,,1901.28
140,24134.35,43.99,0.07645,0.00001615,,0.5569,,1901.14
141,24134.32,43.98,0.07643,0.00001615,,0.5569,,1901.13
142,24134.32,43.98,0.07645,0.00001615,,0.5567,,1901.13
143,24134.32,43.97,0.07645,0.00001615,,0.5566,,1901.43
144,24134.31,43.98,0.07647,0.00001615,,0.5568,,1901.24
145,24134.21,43.98,0.07645,0.00001615,,0.5568,,1901.24
146,24134.21,43.98,0.07641,0.00001615,,0.5568,,1901.24
147,24134.21,43.99,0.07642,0.00001615,,0.5568,,1901.07
148,24132.59,43.98,0.07642,0.00001615,,0.5566,,1900.76
149,24133.48,43.98,0.07643,0.00001616,,0.557,,1901.04
150,24131.72,43.98,0.07644,0.00001615,,0.557,,1901.05
151,24131.75,43.99,0.07646,0.00001615,,0.557,,1901.27
152,24131.8,43.99,0.07646,0.00001616,,0.5571,,1901.27
153,24132.82,44,0.07646,0.00001616,,0.557,,1900.92
154,24132.85,44,0.07646,0.00001616,,0.5571,,1901.24
155,24130.82,43.98,0.07646,0.00001616,,0.5571,,1901.24
156,24130.82,43.99,0.07642,0.00001616,,0.5569,,1901.23
157,24130.56,43.99,0.07643,0.00001616,,0.5569,,1901.23
158,24130.55,43.99,0.07643,0.00001615,,0.5569,,1901.25
159,24130.56,44,0.07643,0.00001615,,0.5569,,1901.25
